epoch,train_loss,val_loss
1,184.854,69.9675
2,137.322,293.802
3,105.532,242.534
4,133.074,50.4142
5,140.907,181.763
6,97.0874,98.6396
7,98.6326,52.9243
8,126.26,151.819
9,92.6117,23.5259
10,118.53,191.587
11,102.735,150.94
12,95.8117,31.546
13,98.7707,62.5289
14,124.831,15.547
15,71.9555,131.049
16,75.9432,59.7558
17,87.2319,74.5801
18,64.0977,75.8962
19,111.51,241.349
20,65.4273,29.8325
21,71.7512,11.7028
22,62.8369,205.943
23,90.3323,47.3426
24,70.4848,101.336
25,71.2206,31.9381
26,79.1869,151.514
27,74.3595,119.062
28,82.0479,112.42
29,95.5136,144.748
30,65.5994,23.83
31,63.8348,23.14
32,63.7224,119.742
33,72.7436,125.331
34,64.7737,40.6995
35,63.6237,79.9065
36,69.4116,63.9604
37,62.1463,29.5618
38,56.5521,41.7291
39,54.8661,246.152
40,80.8186,31.9551
41,62.3497,31.7556
42,71.7531,119.584
43,69.9836,22.2538
44,63.2695,46.9236
45,55.0957,20.9126
46,75.9369,30.5515
47,46.8051,93.23
48,61.6589,79.3191
49,62.6914,203.835
50,71.5329,71.2711
51,60.044,75.8706
52,66.6641,16.8126
53,54.6294,108.171
54,58.3002,13.7952
55,51.8899,56.0281
56,61.9665,24.1087
57,61.1065,83.4368
58,57.5587,15.0371
59,53.2017,129.694
60,52.2787,14.873
61,60.7134,78.0971
62,60.6094,67.7172
63,51.0562,41.1115
64,58.8873,21.4188
65,55.4365,51.6872
66,66.6398,207.649
67,49.5963,57.36
68,45.7007,34.223
69,48.2145,51.7904
70,66.1375,17.1454
71,48.8447,21.26
72,55.9444,65.2489
73,50.8749,14.799
74,58.1283,95.8955
75,47.8638,32.855
76,44.9094,54.6098
77,54.0371,54.732
78,58.2694,20.1888
79,53.1714,46.4518
80,43.2388,21.2285
81,37.5489,16.7952
82,63.3828,67.4062
83,56.2184,73.5299
84,38.8314,85.2598
85,42.9615,119.628
86,40.2695,24.1407
87,39.2667,59.545
88,51.83,95.1233
89,50.788,23.3578
90,38.8352,100.91
91,57.4577,48.9121
92,39.3175,19.3371
93,52.2611,24.9156
94,53.1225,18.4923
95,41.7803,163.88
96,44.7586,43.1573
97,43.2489,37.0498
98,38.7227,14.828
99,55.4381,79.6003
100,47.3695,25.0541
101,51.7442,70.8168
102,42.6366,28.224
103,35.8958,84.2253
104,44.2353,38.9732
105,44.3231,25.022
106,40.5586,15.2654
107,45.8211,44.1661
108,36.1242,10.0508
109,47.2004,16.0551
110,46.4529,14.8736
111,35.187,18.2061
112,34.215,18.8606
113,39.4394,20.3988
114,39.5203,14.1588
115,38.8982,13.4462
116,40.1328,19.1335
117,50.8984,100.61
118,41.9937,70.8124
119,46.5994,18.8914
120,41.3115,89.9085
121,37.7265,11.026
122,28.038,12.4184
123,38.0127,56.5802
124,43.7992,65.1189
125,42.0817,17.7779
126,38.5066,14.126
127,49.6039,96.2065
128,50.2849,34.6319
129,38.7532,65.5297
130,39.9546,11.2697
131,30.7046,30.5452
132,40.9246,58.832
133,37.9062,18.2477
134,32.6466,61.3927
135,36.0285,91.7959
136,35.2927,16.3834
137,32.4947,33.7886
138,24.7605,33.7101
139,32.3302,12.4203
